[INFO ] [Thread:main] 2019-07-03 11:01:05,445 core.tests.SupportTest.runOncePerSuite:L50 - Central setup completed.
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:08,777 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "[\r][\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:08,777 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "{[\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:08,777 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "  "desiredCapabilities": {"browserName":"chrome","goog:chromeOptions":{"args":["--disable-notifications","--disable-infobars"],"binary":"C:\\Program Files (x86)\\Google\\Chrome\\Application\\chrome.exe","extensions":[]},"pageLoadStrategy":"none","platform":"ANY","version":"PLATFORM_VER"},[\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:08,777 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "  "capabilities": {[\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:08,777 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "    "desiredCapabilities": {"browserName":"chrome","goog:chromeOptions":{"args":["--disable-notifications","--disable-infobars"],"binary":"C:\\Program Files (x86)\\Google\\Chrome\\Application\\chrome.exe","extensions":[]},"pageLoadStrategy":"none","platform":"ANY","version":"PLATFORM_VER"},[\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:08,777 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "    "firstMatch": [[\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:08,777 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "      {"browserName":"chrome","goog:chromeOptions":{"args":["--disable-notifications","--disable-infobars"],"binary":"C:\\Program Files (x86)\\Google\\Chrome\\Application\\chrome.exe","extensions":[]},"pageLoadStrategy":"none"}[\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:08,777 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "    ][\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:08,777 org.apache.http.impl.conn.Wire.wire:L73 - http-outgoing-0 >> "  }[\n]"
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2019-07-03 11:01:08,777 org.apache.http.impl.conn.Wire.wire:L87 - http-outgoing-0 >> "}"
